142
66
279,39,1
280,39,2
280,40,3
281,40,4
281,41,5
282,41,6
283,42,7
283,43,8
283,44,9
284,45,10
285,47,11
285,48,12
286,49,13
287,51,14
288,53,15
289,54,16
290,55,17
291,57,18
291,59,19
292,61,20
293,63,21
295,65,22
295,67,23
297,70,24
297,72,25
299,75,26
300,77,27
301,79,28
303,83,29
303,85,30
305,87,31
306,91,32
307,93,33
309,95,34
309,99,35
311,101,36
313,105,37
313,107,38
315,111,39
317,113,40
317,117,41
319,120,42
321,123,43
322,126,44
323,129,45
324,132,46
326,136,47
328,139,48
329,142,49
330,146,50
332,148,51
334,152,52
334,155,53
336,158,54
338,162,55
339,165,56
340,168,57
342,172,58
344,174,59
344,178,60
346,182,61
347,184,62
349,188,63
350,191,64
350,190,65
350,189,66
350,188,67
