142
70
319,71,1
319,73,2
320,76,3
321,78,4
322,80,5
323,82,6
324,85,7
324,88,8
326,90,9
327,94,10
328,97,11
329,100,12
330,103,13
332,107,14
333,110,15
334,114,16
335,117,17
337,121,18
338,125,19
339,128,20
341,132,21
340,134,22
344,140,23
345,144,24
347,148,25
347,152,26
349,156,27
351,160,28
352,165,29
354,169,30
355,173,31
356,177,32
358,181,33
359,185,34
360,190,35
362,194,36
364,198,37
365,202,38
366,206,39
368,209,40
369,214,41
371,218,42
372,221,43
372,225,44
374,229,45
376,233,46
377,237,47
378,240,48
380,245,49
381,249,50
382,252,51
384,256,52
385,260,53
386,264,54
387,267,55
389,271,56
390,274,57
391,277,58
392,281,59
393,284,60
395,287,61
396,291,62
397,294,63
399,297,64
399,301,65
401,303,66
401,307,67
403,309,68
403,313,69
405,315,70
405,315,71
