142
48
218,333,1
222,336,2
224,338,3
227,340,4
230,342,5
233,345,6
236,347,7
239,349,8
243,351,9
246,353,10
249,356,11
252,358,12
255,361,13
258,363,14
261,365,15
264,368,16
267,370,17
270,372,18
273,374,19
276,376,20
279,378,21
282,380,22
285,384,23
287,385,24
290,387,25
293,389,26
296,391,27
299,393,28
301,395,29
304,397,30
307,399,31
310,401,32
312,403,33
314,405,34
317,407,35
320,408,36
322,410,37
324,412,38
326,414,39
329,416,40
331,417,41
334,419,42
336,420,43
338,422,44
340,423,45
342,425,46
344,427,47
346,428,48
349,429,49
