142
61
246,77,1
246,78,2
246,80,3
248,81,4
248,82,5
248,84,6
250,85,7
250,87,8
250,89,9
252,90,10
252,92,11
254,94,12
254,96,13
256,98,14
256,101,15
257,103,16
259,106,17
260,107,18
261,110,19
262,113,20
264,115,21
265,118,22
266,120,23
268,123,24
268,124,25
270,129,26
272,131,27
273,135,28
274,136,29
276,141,30
278,144,31
279,147,32
281,151,33
282,152,34
284,156,35
286,160,36
287,162,37
289,167,38
291,170,39
293,173,40
294,176,41
296,179,42
297,184,43
299,186,44
301,189,45
303,194,46
304,197,47
306,199,48
307,203,49
309,207,50
311,209,51
313,213,52
314,217,53
316,220,54
318,223,55
319,227,56
321,230,57
323,233,58
324,236,59
326,240,60
328,243,61
329,246,62
