142
60
281,40,1
281,41,2
282,41,3
283,42,4
283,43,5
283,44,6
284,45,7
285,47,8
285,48,9
286,49,10
287,51,11
288,53,12
289,54,13
290,55,14
291,57,15
291,59,16
292,61,17
293,63,18
295,65,19
295,67,20
297,70,21
297,72,22
299,75,23
300,77,24
301,79,25
303,83,26
303,85,27
305,87,28
306,91,29
307,93,30
309,95,31
309,99,32
311,101,33
313,105,34
313,107,35
315,111,36
317,113,37
317,117,38
319,120,39
321,123,40
322,126,41
323,129,42
324,132,43
326,136,44
328,139,45
329,142,46
330,146,47
332,148,48
334,152,49
334,155,50
336,158,51
338,162,52
339,165,53
340,168,54
342,172,55
344,174,56
344,178,57
346,182,58
347,184,59
349,188,60
350,191,61
