142
58
693,58,1
692,60,2
692,61,3
691,63,4
690,64,5
690,66,6
689,68,7
688,70,8
687,72,9
686,74,10
686,76,11
684,79,12
684,81,13
682,84,14
681,86,15
680,88,16
679,91,17
678,94,18
677,96,19
676,99,20
674,102,21
673,105,22
672,108,23
671,111,24
670,114,25
668,117,26
667,120,27
666,123,28
664,127,29
663,130,30
661,133,31
660,137,32
659,140,33
657,143,34
655,147,35
655,150,36
653,153,37
651,157,38
650,161,39
649,163,40
647,167,41
645,171,42
644,174,43
643,177,44
641,181,45
639,184,46
638,187,47
636,191,48
635,194,49
634,198,50
632,201,51
631,204,52
629,208,53
628,211,54
626,214,55
624,218,56
624,222,57
622,224,58
620,228,59
